Wavenumber_AsDep,Intensity_AsDep,Wavenumber_UV,Intensity_UV
500.4454,0.0,460.90975,0.18030653822670228
500.9275,0.000220328,461.392,0.18005080004347498
501.4096,0.000905027,461.87412,0.17621472729506527
501.8917,0.00209,462.35625,0.17028827287505832
502.3739,0.00363,462.83837,0.16362796105970345
502.856,0.0053,463.3205,0.15745688750791387
503.3381,0.00689,463.80262,0.15236436194625688
503.8203,0.00825,464.28475,0.14886186074118712
504.3024,0.00932,464.767,0.14729407448748924
504.7845,0.01009,465.24912,0.14781666990538853
505.2666,0.01056,465.73125,0.15024062312032568
505.7487,0.01072,466.21337,0.15407669586873543
506.2309,0.01062,466.6955,0.15851319739515712
506.713,0.01044,467.17762,0.16276067504701952
507.1951,0.01045,467.65975,0.16635212866364657
507.6772,0.01098,468.142,0.16916524867914706
508.1594,0.0123,468.62412,0.17133346371085692
508.6415,0.01449,469.10625,0.1728790118616655
509.1236,0.01737,469.58837,0.17335713107378609
509.6057,0.02053,470.0705,0.1717893448200882
510.0879,0.02347,470.55262,0.16688584313299054
510.57,0.0258,471.03475,0.1578015781026985
511.0521,0.02732,471.517,0.1447255736037714
511.5342,0.02817,471.99912,0.1293034492500198
512.0164,0.02868,472.48125,0.11435944410838882
512.4985,0.02923,472.96337,0.10310696404638693
512.9806,0.03008,473.4455,0.09801443848472995
513.4627,0.0313,473.92762,0.10002698679621447
513.9448,0.03277,474.40975,0.10836627537971391
514.427,0.03427,474.892,0.12109758928385636
514.9091,0.03565,475.37412,0.13595264201393
515.3912,0.03687,475.85625,0.1510411948243416
515.8734,0.03802,476.33837,0.16538477118796066
516.3555,0.03922,476.8205,0.17884994248745106
516.8376,0.0405,477.30262,0.19173692311181886
517.3197,0.04185,477.78475,0.2043681655529593
517.8019,0.04314,478.266,0.21669919360509382
518.284,0.04433,478.74812,0.228407554776327
518.7661,0.04545,479.23025,0.23913743942042961
519.2482,0.04669,479.71237,0.24871094271428693
519.7303,0.04829,480.1945,0.2572392551723457
520.2125,0.05042,480.67662,0.2649558768749438
520.6946,0.05313,481.15875,0.27190528402786
521.1767,0.05627,481.641,0.27772054793342027
521.6588,0.05957,482.12312,0.2816455730933874
522.141,0.06277,482.60525,0.28307993072974924
522.6231,0.06565,483.08737,0.281990263688172
523.1052,0.06819,483.5695,0.2792883341871182
523.5873,0.0704,484.05162,0.2767087142519557
524.0695,0.07236,484.53375,0.27617499978261173
524.5516,0.07404,485.016,0.2789214054894442
525.0337,0.07534,485.49812,0.2848700980123404
525.5159,0.07612,485.98025,0.29244217204615797
525.998,0.07636,486.46237,0.2991914362730701
526.4801,0.07621,486.9445,0.3027717708382526
526.9622,0.07598,487.42662,0.30191560387701327
527.4443,0.07607,487.90875,0.29711217365291764
527.9265,0.07677,488.391,0.2904073856317841
528.4086,0.07814,488.87312,0.2846699550863365
528.8907,0.08003,489.35525,0.2826129305690733
529.3728,0.08209,489.83737,0.28591528884813905
529.855,0.08397,490.3195,0.29482164905531644
530.3371,0.08545,490.80162,0.30828682035480687
530.8192,0.08653,491.28375,0.3243427306409044
531.3013,0.08739,491.766,0.3408878791905673
531.7834,0.08826,492.24812,0.35608762251542553
532.2656,0.0893,492.73025,0.3687299840080107
532.7477,0.09049,493.21237,0.3780922253244194
533.2299,0.09169,493.6945,0.383896370178535
533.712,0.09273,494.17662,0.3862758471876935
534.1941,0.09356,494.65875,0.38539744212356486
534.6762,0.09427,495.14,0.3819171790213845
535.1583,0.0951,495.62212,0.3767579391510595
535.6404,0.09635,496.10425,0.37099827050272255
536.1226,0.09821,496.58637,0.3656055305520596
536.6047,0.10069,497.0685,0.36126910048863986
537.0868,0.10362,497.55062,0.3582891947014694
537.569,0.10672,498.03275,0.3567658846535502
538.0511,0.10975,498.515,0.3567658846535502
538.5332,0.11256,498.99712,0.3584670995245841
539.0153,0.11514,499.47925,0.3621475055527685
539.4974,0.11753,499.96137,0.36802948376699673
539.9796,0.1198,500.4435,0.37591289124126487
540.4617,0.12192,500.92562,0.3850305134258909
540.9438,0.12382,501.40775,0.3941147784561829
541.426,0.12542,501.89,0.4016423762842218
541.9081,0.12669,502.37212,0.40637909219964946
542.3902,0.12766,502.85425,0.40773561647589873
542.8723,0.12844,503.33637,0.4059788063476415
543.3544,0.1291,503.8185,0.4020315430847851
543.8365,0.12963,504.30062,0.3969834937289068
544.3187,0.12998,504.78275,0.39173530144702445
544.8008,0.13004,505.265,0.38675396639981413
545.283,0.12982,505.74712,0.38228410771905846
545.7651,0.12946,506.22925,0.37854810643365067
546.2472,0.12919,506.71137,0.3760352008071562
546.7293,0.12933,507.1935,0.3754570101320336
547.2114,0.13006,507.67562,0.3774695584435181
547.6936,0.13134,508.15775,0.38228410771905846
548.1757,0.13296,508.64,0.3893780625407553
548.6578,0.13453,509.12212,0.39748385104391676
549.14,0.13574,509.60425,0.40501144887195556
549.6221,0.13645,510.08637,0.4106043317486225
550.1042,0.13678,510.5685,0.413717666153129
550.5863,0.13708,511.05062,0.4148406903490402
551.0684,0.1377,511.53275,0.41529657145827154
551.5505,0.13894,512.015,0.41657526237440806
552.0327,0.14081,512.49712,0.4196441205731359
552.5148,0.14315,512.97925,0.42451426510589957
552.9969,0.14561,513.46137,0.4302405765999025
553.4791,0.14785,513.9435,0.43543317362456146
553.9612,0.14967,514.42562,0.43890231767529725
554.4433,0.15097,514.90775,0.44029219910588047
554.9254,0.1518,515.389,0.44022548479721246
555.4076,0.15224,515.87112,0.44006981807698714
555.8896,0.15236,516.35325,0.4412929137359004
556.3718,0.1522,516.83537,0.44492884355830614
556.8539,0.15183,517.3175,0.45123334572743173
557.3361,0.15138,517.79962,0.4597060629282671
557.8182,0.15106,518.28175,0.4694018757880158
558.3003,0.15106,518.764,0.4792867125223238
558.7825,0.15152,519.24612,0.48857112047861984
559.2645,0.15242,519.72825,0.4966991470846706
559.7467,0.15357,520.21037,0.5032816255399127
560.2288,0.1547,520.6925,0.5079738652495618
