Wavenumber,Intensity,Wavenumber,Intensity
cm⁻¹,a.u.,,
,As Deposited,,UV
577.1031,0.31589,476.8205,0.08553
577.5853,0.31508,477.30262,0.09846
578.0674,0.31466,477.78475,0.11106
578.5496,0.31481,478.266,0.12328
579.0317,0.31556,478.74812,0.13473
579.5138,0.31668,479.23025,0.14495
579.9959,0.31794,479.71237,0.15371
580.478,0.31909,480.1945,0.16115
580.9601,0.32004,480.67662,0.16758
581.4423,0.32076,481.15875,0.17307
581.9244,0.32126,481.641,0.1771
582.4066,0.32148,482.12312,0.17878
582.8887,0.32131,482.60525,0.17731
583.3708,0.32065,483.08737,0.17266
583.8529,0.31947,483.5695,0.16599
584.335,0.31792,484.05162,0.15949
584.8171,0.3163,484.53375,0.15559
585.2993,0.31495,485.016,0.15585
585.7814,0.31414,485.49812,0.16015
586.2635,0.3139,485.98025,0.16654
586.7457,0.31408,486.46237,0.1719
587.2278,0.31435,486.9445,0.17327
587.7099,0.31441,487.42662,0.16906
588.192,0.31406,487.90875,0.15988
588.6741,0.31329,488.391,0.1483
589.1562,0.31222,488.87312,0.13797
589.6384,0.31102,489.35525,0.13231
590.1205,0.30972,489.83737,0.13345
590.6027,0.30827,490.3195,0.14169
591.0848,0.3065,490.80162,0.15571
591.5669,0.3043,491.28375,0.17303
592.049,0.30168,491.766,0.19098
592.5311,0.2988,492.24812,0.20727
593.0133,0.29589,492.73025,0.22033
593.4954,0.29316,493.21237,0.22929
593.9775,0.29066,493.6945,0.23377
594.4597,0.28827,494.17662,0.23395
594.9418,0.28577,494.65875,0.23004
595.4239,0.28294,495.14,0.22286
595.906,0.27967,495.62212,0.21359
596.3882,0.27594,496.10425,0.20359
596.8702,0.27179,496.58637,0.19408
597.3524,0.26719,497.0685,0.18594
597.8345,0.26197,497.55062,0.17955
598.3167,0.25583,498.03275,0.17501
598.7988,0.24853,498.515,0.17243
599.2809,0.23999,498.99712,0.17203
599.763,0.23047,499.47925,0.17418
600.2451,0.22055,499.96137,0.17913
600.7273,0.2109,500.4435,0.18664
601.2094,0.20212,500.92562,0.19576
601.6915,0.1945,501.40775,0.20485
602.1736,0.18797,501.89,0.21202
602.6558,0.18218,502.37212,0.21568
603.1379,0.17677,502.85425,0.21512
603.62,0.17151,503.33637,0.21066
604.1022,0.16644,503.8185,0.20346
604.5842,0.16177,504.30062,0.19491
605.0664,0.15763,504.78275,0.18613
605.5485,0.15394,505.265,0.17774
606.0306,0.15036,505.74712,0.17002
606.5128,0.14634,506.22925,0.16328
606.9949,0.14146,506.71137,0.15812
607.477,0.13555,507.1935,0.15543
607.9591,0.12886,507.67562,0.15607
608.4413,0.12196,508.15775,0.16028
608.9234,0.11555,508.64,0.16742
609.4055,0.11017,509.12212,0.17587
609.8876,0.10614,509.60425,0.18363
610.3698,0.10349,510.08637,0.18899
610.8519,0.10217,510.5685,0.19126
611.334,0.10215,511.05062,0.19105
611.8162,0.10332,511.53275,0.19005
612.2983,0.10565,512.015,0.19011
612.7804,0.10933,512.49712,0.1925
613.2625,0.11401,512.97925,0.19718
613.7446,0.1191,513.46137,0.20301
614.2267,0.12386,513.9435,0.20821
614.7089,0.12768,514.42562,0.21126
615.191,0.13025,514.90775,0.21174
615.6731,0.13166,515.389,0.21043
616.1553,0.1323,515.87112,0.20904
616.6374,0.13265,516.35325,0.20943
617.1195,0.13305,516.83537,0.21293
617.6016,0.13357,517.3175,0.21984
618.0837,0.13408,517.79962,0.22954
618.5659,0.13444,518.28175,0.24083
619.048,0.13465,518.764,0.25241
619.5302,0.13502,519.24612,0.26327
620.0123,0.13603,519.72825,0.27272
620.4944,0.13822,520.21037,0.28027
620.9765,0.14198,520.6925,0.28548
621.4586,0.14744,521.17462,0.28793
621.9407,0.1545,521.65675,0.28738
622.4229,0.16299,522.139,0.28403
622.905,0.17284,522.62112,0.27872
623.3871,0.18414,523.10325,0.27281
623.8693,0.19709,523.58537,0.26799
624.3514,0.21186,524.0675,0.26584
624.8335,0.22841,524.54962,0.26746
625.3156,0.24647,525.03175,0.2734
625.7977,0.26556,525.514,0.28337
626.2798,0.2852,525.99612,0.2966
626.762,0.30496,526.47825,0.31196
627.2441,0.32455,526.96037,0.32822
627.7263,0.34369,527.4425,0.34416
628.2084,0.36207,527.92462,0.35867
628.6905,0.37927,528.40675,0.37088
629.1726,0.39479,528.889,0.38035
629.6547,0.4082,529.37112,0.38721
630.1368,0.41929,529.85325,0.39224
630.619,0.42816,530.33537,0.39668
631.1011,0.43518,530.8175,0.40179
631.5833,0.44088,531.29962,0.40832
632.0654,0.44579,531.78175,0.41613
632.5475,0.45023,532.263,0.42412
633.0296,0.45432,532.74512,0.43059
633.5117,0.45798,533.22725,0.43401
633.9939,0.46111,533.70937,0.43363
634.476,0.4637,534.1915,0.42991
634.9581,0.46588,534.67362,0.42441
635.4402,0.46787,535.15575,0.41925
635.9224,0.46992,535.638,0.4163
636.4045,0.47212,536.12012,0.41655
636.8866,0.47446,536.60225,0.41988
637.3687,0.4768,537.08437,0.42526
637.8508,0.47903,537.5665,0.43122
638.333,0.48117,538.04862,0.43658
638.8151,0.48336,538.53075,0.4408
639.2972,0.48582,539.013,0.44406
639.7794,0.48869,539.49512,0.4471
640.2615,0.49193,539.97725,0.45074
640.7436,0.49531,540.45937,0.45558
641.2257,0.49848,540.9415,0.46189
641.7079,0.50117,541.42362,0.46948
642.1899,0.50326,541.90575,0.47797
642.6721,0.50488,542.388,0.48683
643.1542,0.50633,542.87012,0.49555
643.6364,0.50787,543.35225,0.50361
644.1185,0.50966,543.83437,0.51055
644.6006,0.5116,544.3165,0.51602
645.0827,0.51352,544.79862,0.5199
645.5648,0.51518,545.28075,0.52234
646.047,0.51652,545.763,0.52379
646.5291,0.51763,546.24512,0.52488
647.0112,0.51873,546.72725,0.5261
647.4933,0.52006,547.20937,0.52779
647.9755,0.52171,547.6915,0.52995
648.4576,0.5236,548.17362,0.53242
648.9397,0.52552,548.65575,0.53514
649.4219,0.52728,549.138,0.53821
649.904,0.52881,549.62012,0.542
650.3861,0.53021,550.10225,0.54694
650.8682,0.53168,550.58437,0.55321
651.3503,0.53341,551.0665,0.56055
651.8325,0.53541,551.54862,0.56819
652.3146,0.53755,552.03075,0.57507
652.7968,0.53954,552.512,0.58031
653.2788,0.54114,552.99412,0.58348
653.761,0.54229,553.47625,0.58494
654.2431,0.5431,553.95837,0.58557
654.7252,0.54386,554.4405,0.5865
655.2073,0.54482,554.92262,0.5886
655.6895,0.54608,555.40475,0.59219
656.1716,0.54757,555.887,0.59704
656.6537,0.54906,556.36912,0.60249
657.1359,0.55035,556.85125,0.60789
657.6179,0.55136,557.33337,0.61277
658.1001,0.55223,557.8155,0.61703
658.5822,0.5532,558.29762,0.62071
659.0643,0.55453,558.77975,0.62386
659.5464,0.55628,559.262,0.62627
660.0286,0.55831,559.74412,0.62763
660.5107,0.56031,560.22625,0.62756
660.9928,0.56199,560.70837,0.62597
661.475,0.56321,561.1905,0.62313
661.9571,0.56405,561.67262,0.61962
662.4392,0.56477,562.15475,0.61611
662.9213,0.56565,562.637,0.61312
663.4034,0.56682,563.11912,0.61081
663.8856,0.56822,563.60125,0.60905
664.3677,0.56957,564.08337,0.60759
664.8499,0.57057,564.5655,0.60631
665.332,0.57095,565.04762,0.60543
665.8141,0.57062,565.52975,0.60544
666.2962,0.56969,566.012,0.60696
666.7783,0.56843,566.49412,0.61052
667.2605,0.56719,566.97625,0.6164
667.7426,0.56633,567.45837,0.6246
668.2247,0.56605,567.9405,0.63492
668.7068,0.56641,568.42262,0.64708
669.189,0.56736,568.90475,0.66079
669.6711,0.56884,569.386,0.67564
670.1532,0.57078,569.86812,0.691
670.6353,0.57314,570.35025,0.70594
671.1174,0.57576,570.83237,0.7193
671.5996,0.57844,571.3145,0.72996
672.0817,0.58087,571.79662,0.73725
672.5638,0.58282,572.27875,0.74121
673.046,0.58414,572.761,0.74273
673.5281,0.5849,573.24312,0.74331
674.0102,0.58524,573.72525,0.74461
674.4923,0.58538,574.20737,0.748
674.9745,0.58543,574.6895,0.75415
675.4565,0.58539,575.17162,0.76308
675.9387,0.58518,575.65375,0.77417
676.4208,0.58474,576.136,0.78651
