parameter,value
filename,LineGrating20000-1.tif
original_path,C:\Users\dreec\PycharmProjects\sem_cd_analysis\images\raw\LineGrating20000.tif
dose,20000
pixel_width_um,0.01182
pixel_height_um,0.01182
unit,microns
grating_x,1026
grating_y,327
grating_width_px,1284
grating_height_px,1479
grating_width_um,15.1723
grating_height_um,17.4765
bg_x,2451
bg_y,648
bg_width_px,588
bg_height_px,558
bg_mean,26947.2032
bg_std,15226.9386
