pixel,y_um,intensity,bg_mean,bg_std
0,0,26917.7477,26947.2032,15226.9386
1,0.01182,27427.1441,26947.2032,15226.9386
2,0.02363,27364.2952,26947.2032,15226.9386
3,0.03545,27559.0467,26947.2032,15226.9386
4,0.04727,27079.2734,26947.2032,15226.9386
5,0.05908,27456.7671,26947.2032,15226.9386
6,0.0709,26385.9338,26947.2032,15226.9386
7,0.08271,27126.31,26947.2032,15226.9386
8,0.09453,27054.6542,26947.2032,15226.9386
9,0.1063,27781.0195,26947.2032,15226.9386
10,0.1182,27834.6612,26947.2032,15226.9386
11,0.13,27427.3442,26947.2032,15226.9386
12,0.1418,27111.8988,26947.2032,15226.9386
13,0.1536,27866.486,26947.2032,15226.9386
14,0.1654,27401.7243,26947.2032,15226.9386
15,0.1772,27677.7391,26947.2032,15226.9386
16,0.1891,27672.7352,26947.2032,15226.9386
17,0.2009,27166.7414,26947.2032,15226.9386
18,0.2127,27525.4206,26947.2032,15226.9386
19,0.2245,28661.1044,26947.2032,15226.9386
20,0.2363,27695.553,26947.2032,15226.9386
21,0.2481,27139.7204,26947.2032,15226.9386
22,0.26,26577.8832,26947.2032,15226.9386
23,0.2718,27269.2212,26947.2032,15226.9386
24,0.2836,27212.9774,26947.2032,15226.9386
25,0.2954,27443.9572,26947.2032,15226.9386
26,0.3072,27203.3699,26947.2032,15226.9386
27,0.319,27384.5109,26947.2032,15226.9386
28,0.3309,26553.0639,26947.2032,15226.9386
29,0.3427,26685.7671,26947.2032,15226.9386
30,0.3545,27335.4727,26947.2032,15226.9386
31,0.3663,27598.0771,26947.2032,15226.9386
32,0.3781,27154.9322,26947.2032,15226.9386
33,0.3899,27945.9478,26947.2032,15226.9386
34,0.4018,27517.8146,26947.2032,15226.9386
35,0.4136,26263.8388,26947.2032,15226.9386
36,0.4254,27594.8746,26947.2032,15226.9386
37,0.4372,27883.6994,26947.2032,15226.9386
38,0.449,28070.845,26947.2032,15226.9386
39,0.4608,28337.8528,26947.2032,15226.9386
40,0.4727,27419.9385,26947.2032,15226.9386
41,0.4845,27161.7375,26947.2032,15226.9386
42,0.4963,27766.6083,26947.2032,15226.9386
43,0.5081,29551.197,26947.2032,15226.9386
44,0.5199,28146.5039,26947.2032,15226.9386
45,0.5317,27404.1262,26947.2032,15226.9386
46,0.5436,26864.1059,26947.2032,15226.9386
47,0.5554,28356.6674,26947.2032,15226.9386
48,0.5672,26889.1254,26947.2032,15226.9386
