Position_pixels,Intensity
562,40852.3582
563,40214.0262
564,40571.5914
565,40178.0214
566,41293.8164
567,40880.7364
568,40297.5645
569,40455.9503
570,40932.7039
571,40286.7453
572,40368.1553
573,40308.2063
574,40367.6232
575,40263.3333
576,40486.8116
577,40555.8061
578,39737.45
579,40803.5832
580,40856.9696
581,40422.4286
582,40240.4534
583,40956.8254
584,40304.6591
585,40413.0283
586,41089.4934
587,41081.3347
588,40319.735
589,40699.8254
590,40294.5493
591,40469.43
592,40967.8219
593,40435.9082
594,40304.8364
595,40115.9441
596,40544.2774
597,40347.7585
598,40711.5314
599,40019.2809
600,40699.4707
601,40417.8171
602,40024.7792
603,40195.2257
604,40658.8544
605,40725.011
606,40927.0283
607,40816.176
608,40208.8827
609,40411.7867
610,40539.4886
611,40438.2139
612,40249.1442
613,40272.5562
614,39937.1615
615,40001.7219
616,40216.5093
617,39907.0097
618,40158.8661
619,39724.6798
620,40171.4589
621,40447.9689
622,40424.5569
623,40800.0359
624,40534.1677
625,41000.6342
626,40612.0304
627,40818.127
628,40617.706
629,40557.0476
630,40491.2457
631,39873.3106
632,40190.2595
633,40622.8496
634,40356.9814
635,39996.0462
636,40576.2029
637,40863.8868
638,40380.0386
639,39924.9234
640,40876.4796
641,40962.8558
642,40615.4003
643,40421.5418
644,40574.6066
645,40333.9241
646,40102.2871
647,40008.6391
648,40073.3768
649,40538.4244
650,40562.9006
651,40749.6646
652,40830.3651
653,40437.1498
654,40122.3292
655,40349
656,39794.029
657,40091.8226
658,40632.7819
659,40506.8537
660,40904.6805
661,39975.6494
662,40744.521
663,41024.5783
664,40933.0587
665,40794.3602
666,40329.49
667,40700.0028
668,40350.4189
669,40897.0538
670,40860.8716
671,40254.1104
672,40865.4831
673,40939.089
674,40314.4141
675,40194.8709
676,40357.6908
677,39766.1829
678,40723.2374
679,40667.0131
680,40162.7681
681,40564.1422
682,40729.0904
683,40758.8875
684,40996.2001
685,40408.0621
686,41091.4444
687,40923.481
688,40497.2761
689,40024.2471
690,41013.7591
691,40321.8634
692,39768.8433
693,40561.127
694,40537.5376
695,41133.1249
696,40944.0552
697,40044.4665
698,40212.0752
699,40171.991
700,40368.3326
701,40294.1946
702,40752.3251
703,40744.8758
704,40334.1014
705,40579.9275
706,40741.1511
707,40931.4624
708,40103.8834
709,40081.3582
710,39730.3554
711,40173.7647
712,40325.0559
713,40743.6342
714,40056.3499
715,39917.4741
716,40222.5397
717,40139.8882
718,40280.715
719,40363.0117
720,40346.3395
721,40503.1291
722,40093.7736
723,40234.7778
724,40502.0649
725,40029.568
726,39702.5093
727,40135.0994
728,40706.7426
729,40549.2436
730,40693.9724
731,40588.2636
732,40208.3506
733,40244.3554
734,40762.2574
735,40187.4217
736,40428.2816
737,40261.7371
738,40692.7308
739,39620.922
740,40454.7088
741,40781.9448
742,40296.5003
743,40604.5811
744,40645.9068
745,40429.5231
746,40368.1553
747,40292.7757
748,39726.6308
749,40723.2374
750,40193.2747
751,40437.3271
752,40074.0863
753,40182.4555
754,39861.7819
755,40329.1353
756,40085.2602
757,40260.4955
758,40088.2754
759,40282.8433
760,40994.9586
761,39924.2139
762,40391.0352
763,40477.766
764,40250.5631
765,40450.452
766,40748.2457
767,39935.0331
768,40998.3285
769,40625.3326
770,40400.7902
771,40313.7046
772,40840.8295
773,40812.9834
774,40901.6653
775,40270.96
776,40848.4562
777,40202.3202
778,40326.1201
779,41031.8502
780,40753.0345
781,40741.8606
782,40673.2208
783,40402.0317
784,40297.3872
785,40817.4175
786,40610.6115
787,41630.098
788,40358.5776
789,39810.3464
790,39919.9572
791,40725.5431
792,40137.2277
793,40681.9117
794,40679.0738
795,40074.2636
796,40591.9883
797,40732.4603
798,40362.657
799,39736.7405
800,40216.864
801,40910.7108
802,40497.8081
803,40015.5562
804,40223.4265
805,40552.6135
806,40315.6556
807,40198.7729
808,40321.3313
809,40778.2202
810,40485.038
811,40372.5894
812,40149.2885
813,40820.078
814,40989.4603
815,41172.3223
816,40583.6522
817,40362.3023
818,41115.7433
819,40513.2388
820,40844.9089
821,40397.9524
822,40382.167
823,39811.4106
824,40250.0311
825,40823.0932
826,40737.6039
827,40967.9993
828,41151.3934
829,40891.0235
830,40047.6591
831,40407.53
832,40521.7522
833,40754.9855
834,41206.7308
835,40551.1946
836,40686.3458
837,39811.9427
838,40330.1994
839,39895.1263
840,39809.2823
841,40283.1981
842,40563.9648
843,40297.2098
844,40360.1739
845,40238.5024
846,40208.8827
847,40431.2968
848,40557.9344
849,40391.5673
850,40410.5452
851,40952.2139
852,40322.0407
853,40495.1477
854,41152.4576
855,40796.1339
856,40456.8371
857,40888.363
858,40446.7274
859,40347.2264
860,40531.1525
861,40091.2905
862,40838.7012
863,40333.9241
864,40217.7509
865,40090.9358
866,39793.6743
867,40500.646
868,40900.4237
869,40373.4762
870,40111.1553
871,40816.3533
872,40370.1063
873,39293.686
874,39972.1021
875,40547.1153
876,40729.2678
877,40724.1242
878,40017.6846
879,39905.4134
880,40096.6115
881,40263.3333
882,40381.4576
883,40118.4272
884,40519.4465
885,39813.1843
886,40276.2809
887,40528.1373
888,40680.4928
889,40524.4127
890,40233.0041
891,40937.3154
892,39897.6094
893,40801.9869
894,40842.9579
895,40047.8364
896,40192.5652
897,40807.1304
898,39637.7716
899,39951.1732
900,41195.7343
901,40681.0248
902,40661.5148
903,40089.3395
904,40923.3037
905,40289.5832
906,40829.4783
907,39969.087
908,39835.8868
909,39448.1698
910,40687.7647
911,40389.4389
912,40945.4741
913,40692.5535
914,40447.4369
915,39692.5769
916,39223.8047
917,40162.0587
918,39841.2077
919,40096.6115
920,40709.9351
921,40577.2671
922,40333.392
923,40958.2443
924,39755.3637
925,40240.2761
926,40519.9786
927,41098.539
928,41112.9055
929,40467.8337
930,40023.3602
931,40600.6791
932,41223.7578
933,40371.1705
934,40750.7288
935,40261.3823
936,40651.4051
937,40066.9917
938,40597.1318
939,40288.3416
940,40398.6618
941,40362.4796
942,40105.8344
943,40345.6301
944,41045.3299
945,40269.3637
946,39804.8482
947,40271.4921
948,40440.3423
949,41502.7509
950,41209.2139
951,41690.4017
952,40569.6404
953,40052.0932
954,40157.4472
955,41000.8116
956,40204.8033
957,39976.7136
958,39956.6715
959,40369.5742
960,40979.8827
961,40581.3464
962,40485.2153
963,39978.3099
964,41122.4831
965,40809.0814
966,39974.94
967,40433.4251
968,40311.3989
969,40776.4465
970,40524.2353
971,40492.1325
972,39906.8323
973,40328.0711
974,41096.4106
975,40855.9055
976,40383.9406
977,41322.5493
978,40735.6529
979,40338.8903
980,40385.8916
981,40500.1139
982,40096.2567
983,40135.6315
984,39965.5397
985,39671.1159
986,40552.0814
987,40529.911
988,40312.8178
989,40918.8696
990,40214.7357
991,41021.0311
992,41396.51
993,41018.7253
994,41319.5342
995,40783.009
996,40499.0497
997,40534.3451
998,41027.5935
999,39905.236
1000,40571.5914
1001,40448.1463
1002,40729.6225
1003,40065.5728
1004,40889.2498
1005,40458.256
1006,40304.3043
1007,40484.5059
1008,40234.4231
1009,40693.6177
1010,40438.2139
1011,40394.9372
1012,40615.4003
1013,40499.7591
1014,40431.8288
1015,40391.2126
1016,39795.2705
1017,40545.1643
1018,40600.8565
1019,39967.8454
1020,40778.9296
1021,40445.1311
1022,40350.2415
1023,40383.5859
1024,40780.3485
1025,39811.4106
1026,40914.0807
1027,40438.5687
1028,40367.9779
1029,40779.8164
1030,40249.3216
1031,40458.4334
1032,40800.568
1033,40096.7888
1034,40386.4237
1035,40427.9268
1036,40286.2133
1037,39937.5162
1038,40060.2519
1039,39910.9117
1040,39889.9827
1041,40052.4479
1042,40151.0621
1043,40411.9641
1044,40069.2974
1045,39321.7095
1046,39588.4645
1047,39806.6218
1048,39882.0014
1049,40295.4362
1050,40485.2153
1051,40048.3685
1052,40198.9503
1053,39664.1988
1054,39984.8723
1055,39553.7012
1056,39410.5687
1057,39312.1318
1058,39615.4237
1059,39091.8461
1060,39377.9337
1061,39041.6522
1062,39502.9752
1063,39538.8026
1064,39858.5894
1065,39946.7391
1066,39652.8475
1067,39554.9427
1068,39300.0711
1069,39061.8716
1070,39399.5721
1071,39299.0069
1072,38972.4803
1073,39356.4727
1074,39407.1988
1075,40419.236
1076,40310.8668
1077,39548.0255
1078,40277.1677
1079,39730.7101
1080,39794.3837
1081,39056.3734
1082,39633.5148
1083,39369.5977
1084,39239.9448
1085,39286.5914
1086,38789.0863
1087,39421.0331
1088,39229.303
1089,39577.4679
1090,39413.4065
1091,39837.6605
1092,39282.8668
1093,39431.6749
1094,39299.0069
1095,38931.6867
1096,40179.0856
1097,39029.9462
1098,38573.5894
1099,39812.4748
1100,39787.2892
1101,39974.5852
1102,39507.4092
1103,39829.147
1104,39575.6943
1105,39513.0849
1106,39421.5652
1107,39606.5556
1108,39593.9627
1109,39259.2774
1110,39422.9841
1111,39682.2899
1112,39419.4369
1113,39281.2705
1114,39398.1532
1115,39217.7743
1116,39436.2864
1117,39621.0994
1118,38879.5418
1119,39387.5114
1120,39129.0925
1121,38933.9924
1122,39354.8765
1123,39629.2581
1124,39577.4679
1125,39597.8647
1126,39218.4838
1127,39675.9048
1128,39936.9841
1129,39863.3782
1130,40090.7585
1131,39121.1111
1132,38670.43
1133,39372.4355
1134,39341.0421
1135,39709.6039
1136,39270.6287
1137,39838.5473
1138,39736.0311
1139,39271.3382
1140,39365.5183
1141,39614.5369
1142,39468.2119
1143,40126.0538
1144,39290.8482
1145,39204.2947
1146,39057.4375
1147,39348.6687
1148,39637.9489
1149,39353.1028
1150,39380.9489
1151,39438.7695
1152,39703.5735
1153,39170.2409
1154,39333.0607
1155,38770.2857
1156,39358.2464
1157,38974.254
1158,39123.2395
1159,39197.2001
1160,38949.4231
1161,38778.0897
1162,38658.0145
1163,39956.8489
1164,39691.6901
1165,39324.5473
1166,39541.2857
1167,39312.3092
1168,39391.9455
1169,39221.1442
1170,39480.6273
1171,39698.6073
1172,39210.6798
1173,38732.3299
1174,39949.3996
1175,39529.7571
1176,38692.4231
1177,39436.9959
1178,39659.5873
1179,39115.9676
1180,39346.5404
1181,39081.9137
1182,39350.7971
1183,38624.4928
1184,39117.3865
1185,39147.5383
1186,39557.2484
1187,39712.4417
1188,38942.8606
1189,39117.0317
1190,39251.2961
1191,38790.1504
1192,39295.9917
1193,39460.94
1194,39633.1601
1195,39842.0945
1196,39340.8647
1197,39221.499
1198,39231.4313
1199,39402.0552
1200,40032.2284
1201,39081.3816
1202,39693.9959
1203,39138.4928
1204,39523.9041
1205,39404.1836
1206,39474.597
1207,40073.3768
1208,38575.5404
1209,39796.5121
1210,39346.5404
1211,40095.3699
1212,39417.8406
1213,39778.2436
1214,38984.1863
1215,39491.9786
1216,39233.9144
1217,39224.3368
1218,39881.6467
1219,38854.3561
1220,39199.1511
1221,39740.6425
1222,39583.6756
1223,38982.058
1224,39268.323
1225,39230.8992
1226,38627.6853
1227,40172.7005
1228,40072.3126
1229,39471.0497
1230,39438.06
1231,39102.3106
1232,39980.2609
1233,39468.9213
1234,39826.8413
1235,39731.7743
