Name		O 1s	O 1s	O 1s	O 1s				Name		C 1s	C 1s	C 1s	C 1s				Name		Al 2p				
Position		532.06	530.94	533.62	535.80				Position		284.77	286.92	288.75	286.16				Position		74.63				
FWHM		1.73	1.73	1.73	1.73				FWHM		1.52	1.52	1.52	1.52				FWHM		1.59				
Area		20742.57	8347.78	1085.05	352.30				Area		11646.97	4987.10	443.23	2603.66				Area		2382.79				
Lineshape		GL(30)	GL(30)	GL(30)	GL(30)				Lineshape		GL(30)	GL(30)	GL(30)	GL(30)				Lineshape		GL(30)				

B.E.	Cycle 14:O 1s/43:CPS	O 1s/43:O 1s	O 1s/43:O 1s	O 1s/43:O 1s	O 1s/43:O 1s	Background	Envelope		B.E.	Cycle 14:C 1s/44:CPS	C 1s/44:C 1s	C 1s/44:C 1s	C 1s/44:C 1s	C 1s/44:C 1s	Background	Envelope		B.E.	Cycle 14:Al 2p/45:CPS	Al 2p/45:Al 2p	Background	Envelope		
5.454000e+002	1.839367e+003	1.839367e+003	1.839367e+003	1.839367e+003	1.839367e+003	1.839367e+003	1.839367e+003		3.024000e+002	1.152612e+003	1.152612e+003	1.152612e+003	1.152612e+003	1.152612e+003	1.152612e+003	1.152612e+003		8.840000e+001	2.177554e+002	2.177554e+002	2.177554e+002	2.177554e+002		
5.453000e+002	1.826546e+003	1.826546e+003	1.826546e+003	1.826546e+003	1.826546e+003	1.826546e+003	1.826546e+003		3.023000e+002	1.123733e+003	1.123733e+003	1.123733e+003	1.123733e+003	1.123733e+003	1.123733e+003	1.123733e+003		8.830000e+001	2.056114e+002	2.056114e+002	2.056114e+002	2.056114e+002		
5.452000e+002	1.805430e+003	1.805430e+003	1.805430e+003	1.805430e+003	1.805430e+003	1.805430e+003	1.805430e+003		3.022000e+002	1.126941e+003	1.126941e+003	1.126941e+003	1.126941e+003	1.126941e+003	1.126941e+003	1.126941e+003		8.820000e+001	1.947236e+002	1.947236e+002	1.947236e+002	1.947236e+002		
5.451000e+002	1.861237e+003	1.861237e+003	1.861237e+003	1.861237e+003	1.861237e+003	1.861237e+003	1.861237e+003		3.021000e+002	1.130150e+003	1.130150e+003	1.130150e+003	1.130150e+003	1.130150e+003	1.130150e+003	1.130150e+003		8.810000e+001	1.896985e+002	1.896985e+002	1.896985e+002	1.896985e+002		
5.450000e+002	1.781297e+003	1.781297e+003	1.781297e+003	1.781297e+003	1.781297e+003	1.781297e+003	1.781297e+003		3.020000e+002	1.105763e+003	1.105763e+003	1.105763e+003	1.105763e+003	1.105763e+003	1.105763e+003	1.105763e+003		8.800000e+001	1.943049e+002	1.943049e+002	1.943049e+002	1.943049e+002		
5.449000e+002	1.787330e+003	1.787330e+003	1.787330e+003	1.787330e+003	1.787330e+003	1.787330e+003	1.787330e+003		3.019000e+002	1.107047e+003	1.107047e+003	1.107047e+003	1.107047e+003	1.107047e+003	1.107047e+003	1.107047e+003		8.790000e+001	1.842546e+002	1.842546e+002	1.842546e+002	1.842546e+002		
5.448000e+002	1.810709e+003	1.810709e+003	1.810709e+003	1.810709e+003	1.810709e+003	1.810709e+003	1.810709e+003		3.018000e+002	1.096778e+003	1.096778e+003	1.096778e+003	1.096778e+003	1.096778e+003	1.096778e+003	1.096778e+003		8.780000e+001	1.783920e+002	1.783920e+002	1.783920e+002	1.783920e+002		
5.447000e+002	1.755656e+003	1.755656e+003	1.755656e+003	1.755656e+003	1.755656e+003	1.755656e+003	1.755656e+003		3.017000e+002	1.098704e+003	1.098704e+003	1.098704e+003	1.098704e+003	1.098704e+003	1.098704e+003	1.098704e+003		8.770000e+001	1.989112e+002	1.989112e+002	1.989112e+002	1.989112e+002		
5.446000e+002	1.693062e+003	1.693062e+003	1.693062e+003	1.693062e+003	1.693062e+003	1.693062e+003	1.693062e+003		3.016000e+002	1.062765e+003	1.062765e+003	1.062765e+003	1.062765e+003	1.062765e+003	1.062765e+003	1.062765e+003		8.760000e+001	1.855109e+002	1.855109e+002	1.855109e+002	1.855109e+002		
5.445000e+002	1.741327e+003	1.741327e+003	1.741327e+003	1.741327e+003	1.741327e+003	1.741327e+003	1.741327e+003		3.015000e+002	1.088435e+003	1.088435e+003	1.088435e+003	1.088435e+003	1.088435e+003	1.088435e+003	1.088435e+003		8.750000e+001	1.943049e+002	1.943049e+002	1.943049e+002	1.943049e+002		
5.444000e+002	1.737557e+003	1.737557e+003	1.737557e+003	1.737557e+003	1.737557e+003	1.737557e+003	1.737557e+003		3.014000e+002	1.120524e+003	1.120524e+003	1.120524e+003	1.120524e+003	1.120524e+003	1.120524e+003	1.120524e+003		8.740000e+001	1.796482e+002	1.796482e+002	1.796482e+002	1.796482e+002		
5.443000e+002	1.730769e+003	1.730769e+003	1.730769e+003	1.730769e+003	1.730769e+003	1.730769e+003	1.730769e+003		3.013000e+002	1.095495e+003	1.095495e+003	1.095495e+003	1.095495e+003	1.095495e+003	1.095495e+003	1.095495e+003		8.730000e+001	2.039363e+002	2.039363e+002	2.039363e+002	2.039363e+002		
5.442000e+002	1.747360e+003	1.747360e+003	1.747360e+003	1.747360e+003	1.747360e+003	1.747360e+003	1.747360e+003		3.012000e+002	1.081376e+003	1.081376e+003	1.081376e+003	1.081376e+003	1.081376e+003	1.081376e+003	1.081376e+003		8.720000e+001	1.880235e+002	1.880235e+002	1.880235e+002	1.880235e+002		
5.441000e+002	1.680241e+003	1.680241e+003	1.680241e+003	1.680241e+003	1.680241e+003	1.680241e+003	1.680241e+003		3.011000e+002	1.051855e+003	1.051855e+003	1.051855e+003	1.051855e+003	1.051855e+003	1.051855e+003	1.051855e+003		8.710000e+001	1.976549e+002	1.976549e+002	1.976549e+002	1.976549e+002		
5.440000e+002	1.702866e+003	1.702866e+003	1.702866e+003	1.702866e+003	1.702866e+003	1.702866e+003	1.702866e+003		3.010000e+002	1.019766e+003	1.019766e+003	1.019766e+003	1.019766e+003	1.019766e+003	1.019766e+003	1.019766e+003		8.700000e+001	1.729481e+002	1.729481e+002	1.729481e+002	1.729481e+002		
5.439000e+002	1.679487e+003	1.679487e+003	1.679487e+003	1.679487e+003	1.679487e+003	1.679487e+003	1.679487e+003		3.009000e+002	1.033243e+003	1.033243e+003	1.033243e+003	1.033243e+003	1.033243e+003	1.033243e+003	1.033243e+003		8.690000e+001	1.796482e+002	1.796482e+002	1.796482e+002	1.796482e+002		
5.438000e+002	1.631222e+003	1.631222e+003	1.631222e+003	1.631222e+003	1.631222e+003	1.631222e+003	1.631222e+003		3.008000e+002	1.025542e+003	1.025542e+003	1.025542e+003	1.025542e+003	1.025542e+003	1.025542e+003	1.025542e+003		8.680000e+001	1.813233e+002	1.813233e+002	1.813233e+002	1.813233e+002		
5.437000e+002	1.668175e+003	1.668175e+003	1.668175e+003	1.668175e+003	1.668175e+003	1.668175e+003	1.668175e+003		3.007000e+002	1.040303e+003	1.040303e+003	1.040303e+003	1.040303e+003	1.040303e+003	1.040303e+003	1.040303e+003		8.670000e+001	1.905360e+002	1.905360e+002	1.905360e+002	1.905360e+002		
5.436000e+002	1.625943e+003	1.625943e+003	1.625943e+003	1.625943e+003	1.625943e+003	1.625943e+003	1.625943e+003		3.006000e+002	1.020408e+003	1.020408e+003	1.020408e+003	1.020408e+003	1.020408e+003	1.020408e+003	1.020408e+003		8.660000e+001	1.783920e+002	1.783920e+002	1.783920e+002	1.783920e+002		
5.435000e+002	1.603318e+003	1.603318e+003	1.603318e+003	1.603318e+003	1.603318e+003	1.603318e+003	1.603318e+003		3.005000e+002	1.047362e+003	1.047362e+003	1.047362e+003	1.047362e+003	1.047362e+003	1.047362e+003	1.047362e+003		8.650000e+001	1.804858e+002	1.804858e+002	1.804858e+002	1.804858e+002		
