Name		O 1s	O 1s	O 1s				Name		C 1s	C 1s	C 1s	C 1s	C 1s				
Position		530.65	531.93	532.95				Position		284.71	289.11	290.48	285.93	287.20				
FWHM		1.88	1.88	1.88				FWHM		1.61	1.61	1.61	1.61	1.61				
Area		21507.22	34171.49	4553.06				Area		4057.69	435.18	705.72	1346.64	684.13				
Lineshape		GL(30)	GL(30)	GL(30)				Lineshape		GL(30)	GL(30)	GL(30)	GL(30)	GL(30)				

B.E.	Cycle 15:O 1s/48:CPS	O 1s/48:O 1s	O 1s/48:O 1s	O 1s/48:O 1s	Background	Envelope		B.E.	Cycle 15:C 1s/49:CPS	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	Background	Envelope		
5.428600e+002	1.819759e+003	1.819759e+003	1.819759e+003	1.819759e+003	1.819759e+003	1.819759e+003		2.998600e+002	8.535490e+002	8.535490e+002	8.535490e+002	8.535490e+002	8.535490e+002	8.535490e+002	8.535490e+002	8.535490e+002		
5.427600e+002	1.845400e+003	1.845400e+003	1.845400e+003	1.845400e+003	1.845400e+003	1.845400e+003		2.997600e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002		
5.426600e+002	1.803922e+003	1.803922e+003	1.803922e+003	1.803922e+003	1.803922e+003	1.803922e+003		2.996600e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002		
5.425600e+002	1.907994e+003	1.907994e+003	1.907994e+003	1.907994e+003	1.907994e+003	1.907994e+003		2.995600e+002	8.407136e+002	8.407136e+002	8.407136e+002	8.407136e+002	8.407136e+002	8.407136e+002	8.407136e+002	8.407136e+002		
5.424600e+002	1.786576e+003	1.786576e+003	1.786576e+003	1.786576e+003	1.786576e+003	1.786576e+003		2.994600e+002	8.214607e+002	8.214607e+002	8.214607e+002	8.214607e+002	8.214607e+002	8.214607e+002	8.214607e+002	8.214607e+002		
5.423600e+002	1.749623e+003	1.749623e+003	1.749623e+003	1.749623e+003	1.749623e+003	1.749623e+003		2.993600e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002		
5.422600e+002	1.736802e+003	1.736802e+003	1.736802e+003	1.736802e+003	1.736802e+003	1.736802e+003		2.992600e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002	7.989988e+002		
5.421600e+002	1.686275e+003	1.686275e+003	1.686275e+003	1.686275e+003	1.686275e+003	1.686275e+003		2.991600e+002	7.880888e+002	7.880888e+002	7.880888e+002	7.880888e+002	7.880888e+002	7.880888e+002	7.880888e+002	7.880888e+002		
5.420600e+002	1.771493e+003	1.771493e+003	1.771493e+003	1.771493e+003	1.771493e+003	1.771493e+003		2.990600e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002	8.047747e+002		
5.419600e+002	1.692308e+003	1.692308e+003	1.692308e+003	1.692308e+003	1.692308e+003	1.692308e+003		2.989600e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002	7.977153e+002		
5.418600e+002	1.722474e+003	1.722474e+003	1.722474e+003	1.722474e+003	1.722474e+003	1.722474e+003		2.988600e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002	7.957900e+002		
5.417600e+002	1.723228e+003	1.723228e+003	1.723228e+003	1.723228e+003	1.723228e+003	1.723228e+003		2.987600e+002	7.861635e+002	7.861635e+002	7.861635e+002	7.861635e+002	7.861635e+002	7.861635e+002	7.861635e+002	7.861635e+002		
5.416600e+002	1.626697e+003	1.626697e+003	1.626697e+003	1.626697e+003	1.626697e+003	1.626697e+003		2.986600e+002	8.054165e+002	8.054165e+002	8.054165e+002	8.054165e+002	8.054165e+002	8.054165e+002	8.054165e+002	8.054165e+002		
