parameter,value
filename,LineGrating7000-1.tif
original_path,C:\Users\dreec\PycharmProjects\sem_cd_analysis\images\raw\LineGrating7000.tif
dose,7000
pixel_width_um,0.0003255
pixel_height_um,0.01182
unit,inches
grating_x,984
grating_y,483
grating_width_px,1107
grating_height_px,1380
grating_width_um,0.3604
grating_height_um,16.3066
bg_x,2286
bg_y,717
bg_width_px,600
bg_height_px,552
bg_mean,40010.3063
bg_std,15184.5653
