pixel,y_um,intensity,bg_mean,bg_std
0,0,40963.9892,40010.3063,15184.5653
1,0.01182,39553.8555,40010.3063,15184.5653
2,0.02363,40183.0063,40010.3063,15184.5653
3,0.03545,39541.3189,40010.3063,15184.5653
4,0.04727,39858.2159,40010.3063,15184.5653
5,0.05908,39008.9783,40010.3063,15184.5653
6,0.0709,40247.0822,40010.3063,15184.5653
7,0.08271,40197.6323,40010.3063,15184.5653
8,0.09453,39684.561,40010.3063,15184.5653
9,0.1063,40021.4237,40010.3063,15184.5653
10,0.1182,40071.1057,40010.3063,15184.5653
11,0.13,39990.0822,40010.3063,15184.5653
12,0.1418,39223.7254,40010.3063,15184.5653
13,0.1536,38863.6468,40010.3063,15184.5653
14,0.1654,40158.8618,40010.3063,15184.5653
15,0.1772,39484.4399,40010.3063,15184.5653
16,0.1891,39371.6107,40010.3063,15184.5653
17,0.2009,40900.6098,40010.3063,15184.5653
18,0.2127,40877.626,40010.3063,15184.5653
19,0.2245,39711.9557,40010.3063,15184.5653
20,0.2363,39956.187,40010.3063,15184.5653
21,0.2481,39433.5971,40010.3063,15184.5653
22,0.26,39900.9332,40010.3063,15184.5653
23,0.2718,39299.8735,40010.3063,15184.5653
24,0.2836,39896.5221,40010.3063,15184.5653
25,0.2954,39718.4562,40010.3063,15184.5653
26,0.3072,40116.6089,40010.3063,15184.5653
27,0.319,39899.7724,40010.3063,15184.5653
28,0.3309,39698.2584,40010.3063,15184.5653
29,0.3427,39883.0569,40010.3063,15184.5653
30,0.3545,40180.4526,40010.3063,15184.5653
31,0.3663,39405.738,40010.3063,15184.5653
32,0.3781,40183.0063,40010.3063,15184.5653
33,0.3899,39633.486,40010.3063,15184.5653
34,0.4018,39968.9557,40010.3063,15184.5653
35,0.4136,40651.7353,40010.3063,15184.5653
36,0.4254,40435.3631,40010.3063,15184.5653
37,0.4372,40371.2873,40010.3063,15184.5653
38,0.449,40148.4146,40010.3063,15184.5653
39,0.4608,40191.5962,40010.3063,15184.5653
40,0.4727,39729.832,40010.3063,15184.5653
41,0.4845,39646.4869,40010.3063,15184.5653
42,0.4963,38868.0578,40010.3063,15184.5653
43,0.5081,39250.4237,40010.3063,15184.5653
44,0.5199,39012.6929,40010.3063,15184.5653
45,0.5317,40092.6965,40010.3063,15184.5653
46,0.5436,39885.8428,40010.3063,15184.5653
47,0.5554,39298.9449,40010.3063,15184.5653
48,0.5672,39502.5483,40010.3063,15184.5653
49,0.579,40273.5483,40010.3063,15184.5653
50,0.5908,40511.5113,40010.3063,15184.5653
51,0.6026,40143.075,40010.3063,15184.5653
52,0.6145,39594.4833,40010.3063,15184.5653
53,0.6263,39470.5104,40010.3063,15184.5653
54,0.6381,40771.065,40010.3063,15184.5653
55,0.6499,40193.6856,40010.3063,15184.5653
56,0.6617,39606.7877,40010.3063,15184.5653
57,0.6735,39584.9648,40010.3063,15184.5653
58,0.6854,39931.8103,40010.3063,15184.5653
59,0.6972,39691.5257,40010.3063,15184.5653
60,0.709,38638.2204,40010.3063,15184.5653
61,0.7208,39651.1301,40010.3063,15184.5653
62,0.7326,39978.2421,40010.3063,15184.5653
63,0.7444,39349.7877,40010.3063,15184.5653
64,0.7563,38785.6414,40010.3063,15184.5653
65,0.7681,41298.0659,40010.3063,15184.5653
66,0.7799,39962.4553,40010.3063,15184.5653
67,0.7917,39277.3541,40010.3063,15184.5653
68,0.8035,38872.0045,40010.3063,15184.5653
69,0.8153,40287.9422,40010.3063,15184.5653
70,0.8271,39956.8835,40010.3063,15184.5653
71,0.839,39899.7724,40010.3063,15184.5653
72,0.8508,40212.7227,40010.3063,15184.5653
73,0.8626,39583.5718,40010.3063,15184.5653
74,0.8744,38838.1093,40010.3063,15184.5653
75,0.8862,39480.9575,40010.3063,15184.5653
76,0.898,39875.3957,40010.3063,15184.5653
77,0.9099,39683.4002,40010.3063,15184.5653
78,0.9217,40084.5709,40010.3063,15184.5653
79,0.9335,40174.8808,40010.3063,15184.5653
80,0.9453,40316.7299,40010.3063,15184.5653
81,0.9571,39345.3767,40010.3063,15184.5653
82,0.9689,40616.6793,40010.3063,15184.5653
83,0.9808,39938.7751,40010.3063,15184.5653
84,0.9926,39988.6893,40010.3063,15184.5653
85,1.0044,41409.7344,40010.3063,15184.5653
86,1.0162,40235.0099,40010.3063,15184.5653
87,1.028,40590.9097,40010.3063,15184.5653
88,1.0398,40042.7823,40010.3063,15184.5653
89,1.0517,40082.0172,40010.3063,15184.5653
90,1.0635,40762.4752,40010.3063,15184.5653
91,1.0753,41332.8898,40010.3063,15184.5653
92,1.0871,41024.8148,40010.3063,15184.5653
93,1.0989,42561.7073,40010.3063,15184.5653
94,1.1107,42894.8555,40010.3063,15184.5653
95,1.1226,43486.1644,40010.3063,15184.5653
96,1.1344,44603.5456,40010.3063,15184.5653
97,1.1462,45011.449,40010.3063,15184.5653
98,1.158,45998.3568,40010.3063,15184.5653
99,1.1698,47101.5763,40010.3063,15184.5653
100,1.1816,46792.8049,40010.3063,15184.5653
101,1.1935,46519.0894,40010.3063,15184.5653
102,1.2053,47663.8654,40010.3063,15184.5653
103,1.2171,47755.5682,40010.3063,15184.5653
104,1.2289,47911.579,40010.3063,15184.5653
105,1.2407,48759.1915,40010.3063,15184.5653
106,1.2525,48048.5528,40010.3063,15184.5653
107,1.2644,48098.6992,40010.3063,15184.5653
108,1.2762,48251.692,40010.3063,15184.5653
109,1.288,48642.4155,40010.3063,15184.5653
110,1.2998,48267.0145,40010.3063,15184.5653
111,1.3116,49236.0461,40010.3063,15184.5653
112,1.3234,49531.3523,40010.3063,15184.5653
113,1.3353,47944.5456,40010.3063,15184.5653
114,1.3471,48672.8284,40010.3063,15184.5653
115,1.3589,48411.6495,40010.3063,15184.5653
116,1.3707,47971.7082,40010.3063,15184.5653
117,1.3825,47728.6378,40010.3063,15184.5653
118,1.3943,47323.5203,40010.3063,15184.5653
119,1.4062,49351.8934,40010.3063,15184.5653
120,1.418,47877.6838,40010.3063,15184.5653
121,1.4298,48026.4977,40010.3063,15184.5653
122,1.4416,48403.7561,40010.3063,15184.5653
123,1.4534,48508.4598,40010.3063,15184.5653
124,1.4652,47347.6649,40010.3063,15184.5653
125,1.4771,47975.6549,40010.3063,15184.5653
126,1.4889,47572.1626,40010.3063,15184.5653
127,1.5007,48790.0687,40010.3063,15184.5653
128,1.5125,48488.0298,40010.3063,15184.5653
129,1.5243,48333.8762,40010.3063,15184.5653
130,1.5361,48155.1138,40010.3063,15184.5653
131,1.5479,48235.2087,40010.3063,15184.5653
132,1.5598,48205.9566,40010.3063,15184.5653
133,1.5716,48107.2891,40010.3063,15184.5653
134,1.5834,48434.6332,40010.3063,15184.5653
135,1.5952,48964.4201,40010.3063,15184.5653
136,1.607,48382.3975,40010.3063,15184.5653
137,1.6188,48062.9467,40010.3063,15184.5653
138,1.6307,48280.7118,40010.3063,15184.5653
139,1.6425,48725.2963,40010.3063,15184.5653
140,1.6543,48360.3424,40010.3063,15184.5653
141,1.6661,47956.1536,40010.3063,15184.5653
142,1.6779,47974.262,40010.3063,15184.5653
143,1.6897,48614.0921,40010.3063,15184.5653
144,1.7016,47427.5276,40010.3063,15184.5653
145,1.7134,48545.1409,40010.3063,15184.5653
146,1.7252,48192.2593,40010.3063,15184.5653
147,1.737,48200.1527,40010.3063,15184.5653
148,1.7488,48157.6676,40010.3063,15184.5653
149,1.7606,48480.8329,40010.3063,15184.5653
150,1.7725,48553.963,40010.3063,15184.5653
151,1.7843,48586.4652,40010.3063,15184.5653
152,1.7961,48023.2475,40010.3063,15184.5653
153,1.8079,48738.9937,40010.3063,15184.5653
154,1.8197,49182.6495,40010.3063,15184.5653
155,1.8315,48221.047,40010.3063,15184.5653
156,1.8434,48901.0407,40010.3063,15184.5653
157,1.8552,47871.6477,40010.3063,15184.5653
158,1.867,48513.103,40010.3063,15184.5653
159,1.8788,48361.271,40010.3063,15184.5653
160,1.8906,47941.5276,40010.3063,15184.5653
161,1.9024,49359.7868,40010.3063,15184.5653
162,1.9143,48809.1057,40010.3063,15184.5653
163,1.9261,48459.2421,40010.3063,15184.5653
164,1.9379,49391.1283,40010.3063,15184.5653
165,1.9497,47886.2737,40010.3063,15184.5653
166,1.9615,48975.0994,40010.3063,15184.5653
167,1.9733,48217.7967,40010.3063,15184.5653
168,1.9852,48893.8437,40010.3063,15184.5653
169,1.997,48083.841,40010.3063,15184.5653
170,2.0088,48254.2457,40010.3063,15184.5653
171,2.0206,48620.3604,40010.3063,15184.5653
172,2.0324,48139.0949,40010.3063,15184.5653
173,2.0442,47639.4887,40010.3063,15184.5653
174,2.0561,48075.7154,40010.3063,15184.5653
175,2.0679,48480.3686,40010.3063,15184.5653
176,2.0797,48284.6585,40010.3063,15184.5653
177,2.0915,48466.9033,40010.3063,15184.5653
178,2.1033,48729.243,40010.3063,15184.5653
179,2.1151,47856.3252,40010.3063,15184.5653
180,2.127,48525.1752,40010.3063,15184.5653
181,2.1388,48550.4806,40010.3063,15184.5653
182,2.1506,48042.0524,40010.3063,15184.5653
183,2.1624,48171.365,40010.3063,15184.5653
184,2.1742,48713.6883,40010.3063,15184.5653
185,2.186,49323.8022,40010.3063,15184.5653
186,2.1979,48131.8979,40010.3063,15184.5653
187,2.2097,48321.1075,40010.3063,15184.5653
188,2.2215,48192.0271,40010.3063,15184.5653
189,2.2333,48223.3686,40010.3063,15184.5653
190,2.2451,48674.4535,40010.3063,15184.5653
191,2.2569,48647.7552,40010.3063,15184.5653
192,2.2688,48953.9729,40010.3063,15184.5653
193,2.2806,49013.1734,40010.3063,15184.5653
194,2.2924,49060.5339,40010.3063,15184.5653
195,2.3042,48263.5321,40010.3063,15184.5653
196,2.316,48080.5908,40010.3063,15184.5653
197,2.3278,47172.617,40010.3063,15184.5653
198,2.3396,48403.7561,40010.3063,15184.5653
199,2.3515,48066.1969,40010.3063,15184.5653
