parameter,value
filename,LineGrating15000.tif
original_path,C:\Users\dreec\PycharmProjects\sem_cd_analysis\images\raw\LineGrating15000.tif
dose,15000
pixel_width_um,0.01182
pixel_height_um,0.01182
unit,microns
grating_x,927
grating_y,507
grating_width_px,1101
grating_height_px,1365
grating_width_um,13.0099
grating_height_um,16.1294
bg_x,2364
bg_y,654
bg_width_px,591
bg_height_px,531
bg_mean,24278.2946
bg_std,14827.2537
