pixel,y_um,intensity,bg_mean,bg_std
0,0,24426.6712,24278.2946,14827.2537
1,0.01182,25011.8656,24278.2946,14827.2537
2,0.02363,24066.0309,24278.2946,14827.2537
3,0.03545,24593.5695,24278.2946,14827.2537
4,0.04727,23940.9155,24278.2946,14827.2537
5,0.05908,24296.654,24278.2946,14827.2537
6,0.0709,24219.3906,24278.2946,14827.2537
7,0.08271,24583.7657,24278.2946,14827.2537
8,0.09453,24005.1072,24278.2946,14827.2537
9,0.1063,24403.3288,24278.2946,14827.2537
10,0.1182,24995.5259,24278.2946,14827.2537
11,0.13,24748.0963,24278.2946,14827.2537
12,0.1418,24716.3506,24278.2946,14827.2537
13,0.1536,24755.7993,24278.2946,14827.2537
14,0.1654,24441.6104,24278.2946,14827.2537
15,0.1772,23170.6158,24278.2946,14827.2537
16,0.1891,24734.3243,24278.2946,14827.2537
17,0.2009,24487.5949,24278.2946,14827.2537
18,0.2127,24473.356,24278.2946,14827.2537
19,0.2245,23291.7629,24278.2946,14827.2537
20,0.2363,24527.7439,24278.2946,14827.2537
21,0.2481,24668.2652,24278.2946,14827.2537
22,0.26,24346.1399,24278.2946,14827.2537
23,0.2718,23267.4868,24278.2946,14827.2537
24,0.2836,25560.6458,24278.2946,14827.2537
25,0.2954,23774.4841,24278.2946,14827.2537
26,0.3072,24828.1608,24278.2946,14827.2537
27,0.319,23986.4332,24278.2946,14827.2537
28,0.3309,24297.3542,24278.2946,14827.2537
29,0.3427,23936.4805,24278.2946,14827.2537
30,0.3545,24597.5377,24278.2946,14827.2537
31,0.3663,24394.2252,24278.2946,14827.2537
32,0.3781,23696.7539,24278.2946,14827.2537
33,0.3899,24562.2906,24278.2946,14827.2537
34,0.4018,23939.515,24278.2946,14827.2537
35,0.4136,24448.6131,24278.2946,14827.2537
36,0.4254,24504.8683,24278.2946,14827.2537
37,0.4372,23421.0799,24278.2946,14827.2537
38,0.449,23590.3124,24278.2946,14827.2537
39,0.4608,24520.7411,24278.2946,14827.2537
40,0.4727,23872.2888,24278.2946,14827.2537
41,0.4845,24280.3143,24278.2946,14827.2537
42,0.4963,24172.9391,24278.2946,14827.2537
43,0.5081,24376.2516,24278.2946,14827.2537
44,0.5199,25318.5849,24278.2946,14827.2537
45,0.5317,24267.7094,24278.2946,14827.2537
46,0.5436,25108.5032,24278.2946,14827.2537
47,0.5554,24219.3906,24278.2946,14827.2537
48,0.5672,23819.7684,24278.2946,14827.2537
49,0.579,24208.4196,24278.2946,14827.2537
50,0.5908,24619.0127,24278.2946,14827.2537
51,0.6026,25083.5268,24278.2946,14827.2537
52,0.6145,24738.5259,24278.2946,14827.2537
53,0.6263,24253.2371,24278.2946,14827.2537
54,0.6381,24708.881,24278.2946,14827.2537
55,0.6499,23484.5713,24278.2946,14827.2537
56,0.6617,25612.2325,24278.2946,14827.2537
57,0.6735,24687.8728,24278.2946,14827.2537
58,0.6854,24595.2035,24278.2946,14827.2537
59,0.6972,23797.8265,24278.2946,14827.2537
60,0.709,24208.653,24278.2946,14827.2537
61,0.7208,24127.8883,24278.2946,14827.2537
62,0.7326,24848.2352,24278.2946,14827.2537
63,0.7444,25518.8629,24278.2946,14827.2537
